メタプログラミングRuby	4774135666	技術	運用	2,919		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4774135666/ref=sr_1_1?s=books&ie=UTF8&qid=1342750854&sr=1-1
[Web開発者のための]大規模サービス技術入門 ―データ構造、メモリ、OS、DB、サーバ/インフラ (WEB+DB PRESS plusシリーズ)	978-4-7741-4307-1	技術	基礎	2,709		2013年5月	済			honto	http://www.amazon.co.jp/dp/4774143073
3分間HTTP&メールプロトコル基礎講座	978-4774140810	技術		2,394		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4774140813/
７日間でマスターするレイアウト基礎講座	4-88108-143-8	デザイン	基礎	1,890		2013年7月	済			honto	http://www.amazon.co.jp/dp/4881081438
Amazon Web Services ガイドブック クラウドでWebサービスを作ろう！	978-4844329800	技術		3,570		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4844329804/
Amazon Web Services クラウドデザインパターン 設計ガイド	978-4822211967	技術		2,520		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4822211967/
Amazon Web Services クラウドデザインパターン実装ガイド	978-4822211981	技術		3,990		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4822211983/
Amazon Web Servicesプログラミング ―APIの基礎からElastic Beanstalkの利用まで	978-4-87311-581-8	技術	AWS	3,360		2013年6月	済			honto	http://www.amazon.co.jp/dp/4873115817
Apache Lucene 入門	978-4774127804	技術		7,800		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4774127809/
Apache Solr入門	978-4774141756	技術		3,780		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4774141755/
Bandit Algorithms for Website Optimization	978-1449341336	技術	アルゴリズム	1,663		2013年7月	済			Amazon	http://www.amazon.co.jp/dp/1449341330
Chef実践入門 ~コードによるインフラ構成の自動化 (WEB+DB PRESS plus) [単行本（ソフトカバー）]	978-4774165004			2,992		2014年6月	済				http://www.amazon.co.jp/dp/477416500X
CloudStack徹底入門	978-4-7981-3058-3	技術	基礎	3,990		2013年5月	済			honto	http://www.amazon.co.jp/dp/4798130583
CSS3 スタンダード・デザインガイド	4839938296	デザイン	基礎	2,940		2012年9月	済			Amazon	http://www.amazon.co.jp/dp/4839938296/ref=pd_bxgy_b_img_b
CSS3デザインブック 仕事で絶対に使うプロのテクニック	4844362534	デザイン	基礎	2,940		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4844362534/ref=pd_ybh_18
Emacs実践入門	978-4774150024	技術	エディタ	2,604		2013年8月	済			Amazon	http://amzn.to/1cs05Ft
FuelPHP入門	978-4881669419	技術	PHP	2,709		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4881669419/ref=sr_1_1?s=books&ie=UTF8&qid=1344474467&sr=1-1
GitHub実践入門 ~Pull Requestによる開発の変革 (WEB+DB PRESS plus) [単行本（ソフトカバー）]	978-4774163666			2,786		2014年8月	済				http://www.amazon.co.jp/dp/477416366X/
ＨＡＣＫＩＮＧ：美しき策謀 脆弱性攻撃の理論と実際 第２版	978-4-87311-514-6	技術	運用	4,410		2013年6月	済			honto	http://www.amazon.co.jp/dp/4873115140
Head Firstデザインパターン ―頭とからだで覚えるデザインパターンの基本	4873112494	デザイン	基礎	4,830		2012年9月	済			Amazon	http://www.amazon.co.jp/dp/4873112494/ref=sr_1_1?s=books&ie=UTF8&qid=1342744543&sr=1-1
HTML5 インタラクティブ表現ガイド	978-4774157665	技術	HTML5	2,709		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/477415766X
HTML5 ジオロケーション――Webアプリケーションに地理情報をもたらす	978-4-87311-523-8	技術	HTML5	1,680		2012年8月	済			Oreilly	http://www.oreilly.co.jp/books/9784873115238/
HTML5＆CSS3実践入門 最新Web標準を使いこなす (The Pragmatic Programmers)	4844330489	デザイン	基礎	2,940		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4844330489/ref=sr_1_1?s=books&ie=UTF8&qid=1342056903&sr=1-1
HTTPの教科書	978-4798126258	技術		2,730		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/479812625X
ＩＡシンキング Ｗｅｂ制作者・担当者のためのＩＡ思考術	978-4-86267-106-6	デザイン	基礎	2,940		2013年7月	済			honto	http://www.amazon.co.jp/dp/4862671063
ITシステム開発徹底攻略	978-4774156156	技術	その他	1,974		2013年8月	済			Amazon	http://amzn.to/13tYMwB
JavaScript 第6版 [大型本]	978-4-87311-573-3	技術	Java Script	4,410		2013年5月	済			honto	http://www.amazon.co.jp//dp/4873115736/
JavaScript徹底攻略	978-4774154893	技術	JavaScript	1,974		2013年8月	済			Amazon	http://amzn.to/162TGdH
Jenkins実践入門 ~ビルド・テスト・デプロイを自動化する技術 (WEB+DB PRESS plus)	4774148911	技術	運用	2,919		2012年9月	済			Amazon	http://www.amazon.co.jp/dp/4774148911/ref=pd_sim_b_8
jQueryデザインブック 仕事で絶対に使うプロのテクニック	4844362135	技術	JavaScript	2,940		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4844362135/ref=sr_1_2?s=books&ie=UTF8&qid=1342056710&sr=1-2
Lean UX ―リーン思考によるユーザエクスペリエンス・デザイン (THE LEAN SERIES)	978-4873116617			2,376		2014年10月					http://www.amazon.co.jp/dp/4873116619
Linuxエンジニア養成読本	978-4774146010	技術	Linux	1,974		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/4774146013
Linuxデバイスドライバ 第3版 [単行本]		技術	Linux	5,775		2012年12月	済		新間	Amazon	http://www.amazon.co.jp/dp/4873112532/
Linux高信頼サーバ構築ガイド クラスタリング編 (Industrial Computing Series)	978-4881669419	技術	Linux	3,780		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4789840883/
Mobageを支える技術	978-4774151113	技術	その他	2,919		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/4774151114
MongoDB & PHP	978-4-87311-551-1	技術	DB	1,365		2012年8月	済			Oreilly	http://www.oreilly.co.jp/books/9784873115511/
MySQLによるタフなサイトの作り方	4797353937	技術	DB	3,360		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4797353937/ref=sr_1_6?s=books&ie=UTF8&qid=1342751046&sr=1-6
MySQL徹底入門 第3版 ~5.5新機能対応~	978-4798124230	技術		3,654		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4798124230
Nonparametric Econometrics	978-0521586115	技術	計量経済学	5,419		2013年7月	済			Amazon	http://www.amazon.co.jp/dp/0521586119
NoSQLデータベースファーストガイド	4798029599	技術	DB	2,310		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4798029599/ref=sr_1_1?s=books&ie=UTF8&qid=1342057675&sr=1-1
Perl徹底攻略 (WEB+DB PRESS plus)	978-4774158648	技術	Perl	2,289		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/477415864X
PHP 逆引きレシピ (PROGRAMMER’S RECiPE)	4798119865	技術	PHP	2,730		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4798119865/ref=pd_sim_b_4
PHPによるWebアプリケーションスーパーサンプル 第2版	479733245X	技術	PHP	3,990		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/479733245X/ref=pd_sim_b_1
PHPによる機械学習入門	978-4897979595			3,888		2014年7月	済				http://www.amazon.co.jp/gp/product/4897979595/ref=as_li_ss_tl?ie=UTF8&camp=247&creative=7399&creativeASIN=4897979595&linkCode=as2&tag=gessy0129-22
PROFESSIONAL アクセス解析	978-4-7741-4633-1	技術	ログ解析	2,919		2013年5月	済			honto	http://www.amazon.co.jp/dp/4774146331/
Python for Data Analysis	978-1449319793	技術	Python	3,954		2013年7月	済			Amazon	http://www.amazon.co.jp/dp/1449319793
RailsによるアジャイルWebアプリケーション開発 第4版	4274068668	技術	Ruby	3,360		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4274068668/ref=sr_1_1?s=books&ie=UTF8&qid=1342057129&sr=1-1
Redmineによるタスクマネジメント実践技法 [大型本]	978-4798121628			3,542		2014年7月	済				http://www.amazon.co.jp/dp/4798121622/
RとRubyによるデータ解析入門	978-4-87311-615-0	技術	R, Ruby	2,940		2013年5月	済			honto	http://www.amazon.co.jp/dp/4873116155/
Rの基礎とプログラミング技法	978-4-621-06131-2	技術	R	3,675		2013年5月	済			honto	http://www.amazon.co.jp/gp/product/4621061313
R流!イメージで理解する統計処理入門―データ解析の初歩から、シミュレーション、統計アプリの作成方法まで	978-4-87783-229-2	技術	R	3,990		2013年5月	済			honto	http://www.amazon.co.jp/gp/product/4877832297
SEを極める50の鉄則	4822207773	技術	基礎	1,785		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4822207773/
SLAの作成法―サービス・レベル・アグリーメント [単行本]		その他	その他	2,310		2012年12月	済		西脇 持出：2013/01/17	Amazon	http://www.amazon.co.jp/dp/4883732525/
Software Design 総集編 【2001~2012】	978-4774155937	技術		2,079		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4774155934/
Team Geek ―Googleのギークたちはいかにしてチームを作るのか	978-4873116303			2,376		2014年8月	済				http://www.amazon.co.jp/dp/4873116309
The Economics of Collusion: Cartels and Bidding Rings	978-0262017329	その他	オークション理論	3,692		2013年6月	済			Amazon	http://www.amazon.co.jp/dp/0262017326
Vagrant: Up and Running	978-1449335830	技術	その他	3,130		2013年6月	済			Amazon	http://www.amazon.co.jp/dp/1449335837
Vimテクニックバイブル ~作業効率をカイゼンする150の技	4774147958	技術	アプリケーション	3,129		2012年9月	済			Amazon	http://www.amazon.co.jp/dp/4774147958/ref=sr_1_1?s=books&ie=UTF8&qid=1342744709&sr=1-1
WEB DB PRESS Vol.68		技術	その他	0		2012年4月	済				定期購読（稟議 - 支払い済）
WEB DB PRESS Vol.69		技術	その他	0		2012年6月	済				定期購読（稟議 - 支払い済）
WEB DB PRESS Vol.70		技術	その他	0		2012年8月	済				定期購読（稟議 - 支払い済）
WEB DB PRESS Vol.71		技術	その他	0		2012年10月	済				定期購読（稟議 - 支払い済）
WEB DB PRESS Vol.72		技術	その他	0		2012年12月	済				定期購読（稟議 - 支払い済）
WEB DB PRESS Vol.73		技術	その他	0		2013年2月	済				定期購読（稟議 - 支払い済）
WEB DB PRESS Vol.74		技術	その他	0		2013年4月	済				定期購読（稟議 - 支払い済）
WEB+DB PRESS Vol.75	978-4774157191	技術	その他	1,554		2013年6月	済			Amazon	http://www.amazon.co.jp/dp/4774157198
WEB+DB PRESS Vol.76	978-4774158747	技術	その他	1,554		2013年8月	済			Amazon	http://amzn.to/141zAxg
ＷＥＢ＋ＤＢ ＰＲＥＳＳ 総集編３ 〈ＶＯＬ．１〜７２〉１２年分のバックナンバーを大収録	978-4-7741-5783-2	技術	その他	2,699		2013年7月	済			honto	http://www.amazon.co.jp/dp/477415783X
Webエンジニアのための データベース技術[実践]入門	978-4774150208	技術	DB	2,709		2013年8月	済			Amazon	http://amzn.to/11Y5qgJ
Webサービス開発徹底攻略	978-4774154886	技術	その他	1,974		2013年8月	済			Amazon	http://amzn.to/19cNBww
Webを支える技術 -HTTP、URI、HTML 、そしてREST (WEB+DB PRESS plus)	978-4774142043	技術	基礎	2,699		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/4774142042
Webを支える技術 -HTTP、URI、HTML、そしてREST (WEB+DB PRESS plus)	4774142042	技術	基礎	2,699		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4774142042/ref=sr_1_1?s=books&ie=UTF8&qid=1342750688&sr=1-1
Web開発の基礎徹底攻略	978-4774158655	技術	その他	1,974		2013年8月	済			Amazon	http://amzn.to/15BdtiY
Xcode 4ではじめるObjective-Cプログラミング	978-4-89977-349-8	技術	Objective-C	2,940		2013年5月	済			honto	http://amzn.to/111cFQ4
アジャイルな見積りと計画づくり ~価値あるソフトウェアを育てる概念と技法~	4839924023	その他	マネージメント	3,360		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4839924023/ref=sr_1_1?s=books&ie=UTF8&qid=1342745362&sr=1-1
あたりまえだけどなかなかできない仕事のルール (アスカビジネス)	4756908802	その他	ビジネス	998		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4756908802
アルゴリズムイントロダクション 第3版 第1巻: 基礎・ソート・データ構造・数学 (世界標準MIT教科書)	978-4-7649-0406-4	技術	アルゴリズム	4,200		2013年6月	済			honto	http://www.amazon.co.jp/dp/4764904063
アルゴリズムイントロダクション 第3版 第2巻: 高度な設計と解析手法・高度なデータ構造・グラフアルゴリズム (世界標準MIT教科書)	978-4-7649-0407-1	技術	アルゴリズム	4,200		2013年6月	済			honto	http://www.amazon.co.jp/dp/4764904071
インフラデザインパターン ~安定稼動に導く127の設計方式 (WEB+DB PRESS plus) [大型本]	978-4774162867			2,894		2014年6月	済				http://www.amazon.co.jp/dp/4774162868/
インフラ管理者のためのＲｕｎ Ｂｏｏｋ Ａｕｔｏｍａｔｉｏｎ実践ガイド オープンソースを使ったシステム構築／管理自動化入門	978-4-7981-2963-1	技術	運用	3,360		2013年6月	済			honto	http://www.amazon.co.jp/dp/4798129631
ウェブオペレーション サイト運用管理の実践テクニック	978-4-87311-493-4	技術	運用	2,730		2013年6月	済			honto	http://www.amazon.co.jp/dp/4873114934
エキスパートのためのMySQL[運用+管理]トラブルシューティングガイド	978-4774142944	技術		3,465		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4774142948/
オークションの人間行動学 最新理論からネットオークション必勝法まで	978-4-8222-4663-1	その他	オークション理論	2,520		2013年5月	済			honto	http://www.amazon.co.jp/dp/4822246639
オフショア開発 PRESS 	978-4774134437			1,858		2014年10月					http://www.amazon.co.jp/dp/4774134430/
オンラインゲームを支える技術 --壮大なプレイ空間の舞台裏 (WEB+DB PRESS plus)	978-4-7741-4580-8	技術	基礎	3,024		2013年5月	済			honto	http://www.amazon.co.jp/dp/4774145807
コーディングを支える技術	978-4774156545	技術	その他	2,594		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/477415654X
これからはじめるＰｈｏｔｏｓｈｏｐの本	978-4-7741-5368-1	デザイン	基礎	1,974		2013年7月	済			honto	http://www.amazon.co.jp/dp/4774153680
サーバ/インフラエンジニア養成読本 ログ収集~可視化編 [現場主導のデータ分析環境を構築!] (Software Design plus)	978-4774169835			2,138		2014年10月					http://www.amazon.co.jp/dp/4774169838
サーバ構築の実際がわかる Apache[実践]運用/管理	978-4774150369	技術	運用	3,129		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/4774150363
サービスデザインパターン SOAP/WSDLとRESTful Webサービスの基本的な設計ソリューション [大型本]	978-4048865364			3,672		2014年8月	済				http://www.amazon.co.jp/dp/4048865366
さすが!と言われる ビジネスマナー 完全版	4471011251	その他	ビジネス	1,050		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4471011251/ref=sr_1_1?s=books&ie=UTF8&qid=1342750001&sr=1-1
サンプルサイズの決め方	4-254-12665-4	技術	統計	4,725		2013年7月	済			honto	http://www.amazon.co.jp/dp/4254126654
スーパーエンジニアへの道―技術リーダーシップの人間学 	978-4320025639			3,132		2014年10月					http://www.amazon.co.jp/dp/4320025636
スケーリングMongoDB	978-4-87311-522-1	技術	DB	1,365		2012年8月	済			Oreilly	http://www.oreilly.co.jp/books/9784873115221/
ソーシャル・エンジニアリング	978-4822284978	技術	その他	2,730		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/4822284972
データ・サイエンティストに学ぶ「分析力」	978-4822249472			2,160		2014年10月					http://www.amazon.co.jp/o/ASIN/4822249476/gessy0129-22
データサイエンティスト完全ガイド	978-4822230425	技術	データ	1,890		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/4822230422
データサイエンティスト養成読本	978-4774158969	技術		2,079		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4774158968/
データベースエンジニア養成読本 ＤＢを自由自在に活用するための知識とノウハウ満載！ ガッチリ！最新技術	978-4-7741-5806-8	技術	DB	2,079		2013年7月	済			honto	http://www.amazon.co.jp/dp/4774158062
デザインのルール、レイアウトのセオリー。	978-4-8443-6130-5	デザイン	基礎	2,625		2013年7月	済			honto	http://www.amazon.co.jp/dp/4844361309
テスト駆動開発入門	4894717115	技術	運用	3,150		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4894717115/ref=sr_1_1?s=books&ie=UTF8&qid=1342744904&sr=1-1
ネットワークはなぜつながるのか 第2版 知っておきたいTCP/IP、LAN、光ファイバの基礎知識	4822283119	技術	基礎	2,520		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4822283119/ref=sr_1_1?s=books&ie=UTF8&qid=1342747693&sr=1-1
ノンデザイナーズ・デザインブック フルカラー新装増補版	978-4-8399-2840-7	デザイン	基礎	2,100		2013年7月	済			honto	http://www.amazon.co.jp/dp/4839928401
パーフェクトJava (PERFECT SERIES) (PERFECT SERIES 2)	978-4-7741-3990-6	技術	Java	3,780		2013年5月	済			honto	http://amzn.to/15S5rXB
パーフェクトＪａｖａＳｃｒｉｐｔ	978-4-7741-4813-7	技術	JavaScript	3,360		2013年6月	済			honto	http://www.amazon.co.jp/dp/477414813X
パーフェクトＰＨＰ	978-4-7741-4437-5	技術	PHP	3,780		2013年7月	済			honto	http://www.amazon.co.jp/dp/4774144371
パーフェクトＰｙｔｈｏｎ	978-4-7741-5539-5	技術	Python	3,360		2013年6月	済			honto	http://www.amazon.co.jp/dp/477415539X
パーフェクトRuby	978-4774158792	技術	Ruby	3,360		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/4774158798
ハイパフォーマンスHTTPサーバ Nginx入門	4048702270	技術	アプリケーション	3,150		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4048702270/ref=sr_1_1?s=books&ie=UTF8&qid=1342057096&sr=1-1
ハイパフォーマンスWebサイト ―高速サイトを実現する14のルール	487311361X	技術	基礎	1,890		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/487311361X/ref=sr_1_1?s=books&ie=UTF8&qid=1342056847&sr=1-1
はじめてのフレームワークとしてのFuelPHP		技術	PHP	2,480		2012年8月	済			達人出版会	http://tatsu-zine.com/books/fuelphp1st
バッドデータハンドブック	978-4873116402	技術		2,940		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4873116406/
ビッグデータの衝撃――巨大なデータが戦略を決める	4492580964	その他	ビジネス	1,890		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4492580964
ビッグデータ時代のマーケティング ベイジアンモデリングの活用	978-4-06-157302-4	技術	統計	3,360		2013年7月	済			honto	http://www.amazon.co.jp/dp/4061573020
ビューティフルデータ (THEORY/IN/PRACTICE)	978-4873114897	技術	データ	3,570		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/4873114896
プログラミングＨｉｖｅ	978-4-87311-617-4	技術	DB	3,990		2013年6月	済			honto	http://www.amazon.co.jp/dp/4873116171
プログラミングPerl〈VOLUME2〉	4873110971	技術	Perl	4,935		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4873110971/ref=pd_bxgy_b_img_b
プログラムはなぜ動くのか 知っておきたいプログラミングの基礎知識 第２版	978-4-8222-8315-5	技術	その他	2,520		2013年7月	済			honto	http://www.amazon.co.jp/dp/4822283151
プロのための Linuxシステム・10年効く技術 (Software Design plus)	4774151432	技術	Linux	3,570		2012年8月	済			Amazon	http://www.amazon.co.jp/gp/product/4774151432
プロのための図解ネットワーク機器入門 スイッチ、ルータからファイアウォールまで徹底解説	978-4-7741-5374-2	技術	運用	3,129		2013年7月	済			honto	http://www.amazon.co.jp/dp/4774153745
マーケティングの科学―POSデータの解析	978-4254127836	その他	データ	3,885		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/4254127839
マスタリングTCP/IP 入門編 第5版	978-4274068768	技術	運用	2,310		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/4274068765
やさしいオブジェクト指向 やさしいシリーズ	4797337443	技術	基礎	2,730		2012年9月	済			Amazon	http://www.amazon.co.jp/dp/4797337443/ref=sr_1_6?s=books&ie=UTF8&qid=1342747391&sr=1-6
リーダブルコード ―より良いコードを書くためのシンプルで実践的なテクニック (Theory in practice)	4873115655	技術	基礎	3,079	250	2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4873115655/ref=sr_1_1?s=books&ie=UTF8&qid=1342057506&sr=1-1
レガシーコード改善ガイド (Object Oriented SELECTION)	4798116831	技術	基礎	4,410		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4798116831/ref=pd_sim_b_7
ロゴデザインのアイデア!-実例で学ぶ!! プロのデザインルール&テクニック	4862670784	デザイン	基礎	2,940		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4862670784/ref=pd_sim_sbs_b_7
一人前社員の新ルール (アスカビジネス)	4756913075	その他	ビジネス	1,365		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4756913075/ref=pd_sim_b_16
会社のコストを利益に変える リバースオークション戦略	978-4492532683	その他	オークション	1,680		2013年8月	済			Amazon	http://www.amazon.co.jｐ/dp/4492532684
開発ツール徹底攻略 Ｇｉｔ｜ＧｉｔＨｕｂ｜Ｊｅｎｋｉｎｓ｜Ｖｉｍ｜Ｅｍａｃｓ｜Ｌｉｎｕｘの基礎知識	978-4-7741-5616-3	技術	基礎	1,974		2013年7月	済			honto	http://www.amazon.co.jp/dp/4774156167
確率モデルによるWebデータ解析法 - データマイニング技法からe-コマースまで	978-4627095311	技術		6,300		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4627095317/
株価指数の徹底活用術	978-4492731710	その他	その他	2,520		2012年8月	済			Amazon	www.amazon.co.jp/dp/4492731717/ref=sr_1_2?s=books&ie=UTF8&qid=1345685983&sr=1-2
基礎からのＭｙＳＱＬ 改訂版	978-4-7973-6945-8	技術	DB	3,129		2013年6月	済			honto	http://www.amazon.co.jp/dp/4797369450
基礎からのMySQL 改訂版	978-4797369458	技術		3,129		2013年9月	済			Amazon	http://www.amazon.co.jp/dp/4797369450/
経済・ファイナンスデータの計量時系列分析	978-4-254-12792-8	その他	計量経済学	3,780		2013年6月	済			honto	http://www.amazon.co.jp/dp/4254127928
検索エンジンはなぜ見つけるのか ―知っておきたいウェブ情報検索の基礎知識	4822284611	技術	基礎	2,520		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4822284611/ref=sr_1_9?s=books&ie=UTF8&qid=1342747693&sr=1-9
公開API活用ガイド (I・O BOOKS)	4777515362	技術	基礎	1,995		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4777515362
作ればわかる！Androidプログラミング―10の実践サンプルで学ぶAndroidアプリ開発入門	4798124338	技術	Android	2,814		2012年9月	済			Amazon	http://www.amazon.co.jp/dp/4798124338
実践テスト駆動開発 テストに導かれてオブジェクト指向ソフトウェアを育てる	978-4798124582			4,536		2014年10月					http://www.amazon.co.jp/dp/4798124583
実用Git	4873114403	技術	アプリケーション	2,940		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4873114403/ref=sr_1_4?s=books&ie=UTF8&qid=1342057604&sr=1-4
集合知プログラミング	978-4-87311-364-7	技術	アルゴリズム	3,570		2013年7月	済			honto	http://www.amazon.co.jp/dp/4873113644
初めてのＰｅｒｌ 第６版	978-4-87311-567-2	技術	Perl	3,780		2013年6月	済			honto	http://www.amazon.co.jp/dp/4873115671
初めてのPHP & MySQL 第2版 [大型本]		技術	PHP,MySQL	3,570		2012年12月	済			Amazon	http://www.amazon.co.jp/初めてのPHP-MySQL-第2版-Michele-Davis/dp/4873113652
初めてのPHP5 増補改訂版 [大型本]	978-4-87311-580-1	技術	PHP	3,045		2013年5月	済			honto	http://www.amazon.co.jp/dp/4873115809/
初めてのPython 第3版	4873113938	技術	Python	4,830		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4873113938/ref=pd_sim_b_4
詳解 シェルスクリプト	978-4873112671			3,024		2014年6月	済				http://www.amazon.co.jp/dp/4873112672
詳説 正規表現 第3版	4873113598	技術	基礎	5,040		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4873113598/ref=pd_cp_b_2
情報整理・検索に活かすインデックスのテクニック	4320120213	技術	DB	2,415		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4320120213
図解でわかるLinuxのすべて―コマンド操作&パッケージ管理	4534030967	技術	Linux	397	250		済			Amazon	http://www.amazon.co.jp/gp/offer-listing/4534030967/ref=dp_olp_used?ie=UTF8&condition=used
世界で闘うプログラミング力を鍛える150問	978-4839942397	技術	その他	3,759		2013年8月	済			Amazon	http://www.amazon.co.jp/dp/4839942390
達人プログラマー―システム開発の職人から名匠への道	4894712741	技術	基礎	3,990		2012年8月	済			Amazon	http://www.amazon.co.jp/dp/4894712741/ref=sr_1_1?s=books&ie=UTF8&qid=1342745665&sr=1-1
入門機械学習	978-4-87311-594-8	技術	機械学習	3,360		2013年6月	済			honto	http://www.amazon.co.jp/dp/4873115949
入門自然言語処理	978-4-87311-470-5	技術	自然言語処理	3,990		2013年7月	済			honto	http://www.amazon.co.jp/dp/4873114705
不格好経営 チームＤｅＮＡの挑戦	978-4-532-31895-6	その他	ビジネス	1,680		2013年7月	済			honto	http://www.amazon.co.jp/dp/4532318955
分析力を武器とする企業	978-4822246846			2,376		2014年10月					http://www.amazon.co.jp/o/ASIN/4822246841/gessy0129-22
平成25年度【春期】【秋期】 応用情報技術者 合格教本 (情報処理技術者試験)	978-4-7741-5351-3	技術	資格	3,129		2013年5月	済			honto	http://www.amazon.co.jp/dp/4774153516
良いコードを書く技術 -読みやすく保守しやすいプログラミング作法 (WEB+DB PRESS plus)	4774145963	技術	基礎	2,394		2012年7月	済			Amazon	http://www.amazon.co.jp/dp/4774145963/ref=sr_1_1?ie=UTF8&qid=1342750395&sr=8-1
Perlベストプラクティス		技術	Perl	4,644		2014年11月				Amazon	http://www.amazon.co.jp/dp/4873113008
日本語入力を支える技術		技術	自然言語処理	2,776		2014年11月				Amazon	http://www.amazon.co.jp/dp/4774149934
Pattern Recognition and Machine Learning		技術	機械学習	11,161		2014年11月				Amazon	http://www.amazon.co.jp/dp/0387310738
パケットキャプチャ実践技術―Wiresharkによるパケット解析 応用編 [単行本]				¥3,672		2015年5月	済			Amazon	http://www.amazon.co.jp/dp/4897977967
Java in a nutshell			プログラミング	¥6,489		2015年5月	済			Amazon	http://www.amazon.co.jp/Java-Nutshell-Benjamin-J-Evans/dp/1449370829/ref=tmm_pap_title_0?ie=UTF8&qid=1422345415&sr=8-1
Rubyによるクローラー開発技法 巡回・解析機能の実装と21の運用例			Ruby	¥3,218		2015年5月	済			Amazon	http://www.amazon.co.jp/dp/4797380357
SQL実践入門──高速でわかりやすいクエリの書き方 (WEB+DB PRESS plus) 			SQL	¥2,786		2015年5月	済			Amazon	http://www.amazon.co.jp/dp/4774173010/